Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred
42,2003-10-30,PH,LD003,Head on collision,0,63,Minor Road,NORMAL,Y,12,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4261,4261
43,2003-11-01,Other,LD003,Head on collision,0,100,Minor Road,WET,N,10,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2173,2173
44,2003-11-03,CNF,LD003,Head on collision,8,141,Minor Road,N/K,Y,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,994,994
45,2003-11-04,Other,LD003,Head on collision,1,64,Main Road,WET,N,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,7685,7685
46,2003-11-06,Other,LD003,Head on collision,0,142,Minor Road,NORMAL,N,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4597,4597
47,2003-11-08,PH,LD003,Head on collision,0,212,Minor Road,NORMAL,N,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,81
48,2003-11-08,Other,LD003,Head on collision,2,20,Minor Road,NORMAL,N,11,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,81
49,2003-11-12,CNF,LD003,Head on collision,1,152,Main Road,N/K,N,7,Other,n/k,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,20229,20229
50,2003-11-13,Other,LD003,Head on collision,0,140,Main Road,NORMAL,N,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5144,5144
51,2003-11-14,Other,LD003,Head on collision,1,90,Minor Road,WET,N,17,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,495,495
52,2003-11-15,Other,LD003,Head on collision,2,45,Minor Road,WET,Y,23,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2003-11-18,CNF,LD003,Head on collision,0,195,Main Road,WET,N,7,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,171,171
54,2003-11-20,PH,LD003,Head on collision,0,165,Minor Road,WET,Y,18,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2003-11-21,Other,LD003,Head on collision,0,54,Minor Road,WET,N,16,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6231,6231
56,2003-11-21,Other,LD003,Head on collision,8,66,Minor Road,WET,Y,18,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,533,533
57,2003-11-22,Other,LD003,Head on collision,39,102,Minor Road,NORMAL,Y,14,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,686,686
58,2003-11-24,Other,LD003,Head on collision,7,208,Main Road,N/K,Y,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,134,134
59,2003-11-26,CNF,LD003,Head on collision,2,175,Minor Road,WET,N,18,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,70586,50000
60,2003-11-26,PH,LD003,Head on collision,1,88,Main Road,NORMAL,Y,11,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,81,81
61,2003-11-27,Other,LD003,Head on collision,0,84,Main Road,"SNOW,ICE,FOG",Y,8,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,86,86
62,2003-11-27,Other,LD003,Head on collision,4,59,Minor Road,NORMAL,Y,8,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,2003-11-28,Other,LD003,Head on collision,0,34,Main Road,NORMAL,N,11,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5152,5152
64,2003-11-29,Other,LD003,Head on collision,4,104,Main Road,NORMAL,Y,19,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,110,110
65,2003-11-30,CNF,LD003,Head on collision,1,221,Minor Road,NORMAL,N,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7316,7316
66,2003-12-02,PH,LD003,Head on collision,0,236,Minor Road,N/K,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80,80
67,2003-12-02,PH,LD003,Head on collision,0,65,Main Road,NORMAL,Y,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2003-12-03,Other,LD003,Head on collision,1,96,Minor Road,WET,N,9,Other,n/k,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9279,9279
69,2003-12-03,Other,LD003,Head on collision,0,103,Main Road,WET,Y,15,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2281,2281
70,2003-12-05,PH,LD003,Head on collision,1,126,Main Road,NORMAL,N,20,Other,n/k,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,33939,33939
71,2003-12-07,PH,LD003,Head on collision,1,247,Minor Road,NORMAL,N,18,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3089,3089
72,2003-12-07,Other,LD003,Head on collision,1,172,Minor Road,NORMAL,Y,15,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,104,104
73,2003-12-07,Other,LD003,Head on collision,2,117,Main Road,NORMAL,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,428,428
74,2003-12-08,PH,LD003,Head on collision,0,185,Minor Road,NORMAL,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,2003-12-09,Other,LD003,Head on collision,0,191,Minor Road,NORMAL,N,8,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,722,722
76,2003-12-10,Other,LD003,Head on collision,0,71,Minor Road,"SNOW,ICE,FOG",Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,2003-12-10,Other,LD003,Head on collision,0,187,Main Road,"SNOW,ICE,FOG",N,16,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1670,1670
78,2003-12-12,Other,LD003,Head on collision,0,249,Minor Road,WET,N,13,Other,n/k,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,16134,16134
79,2003-12-12,Other,LD003,Head on collision,0,11,Minor Road,NORMAL,N,8,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,10138,10138
80,2003-12-16,Other,LD003,Head on collision,0,168,Minor Road,NORMAL,N,6,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,110,110
81,2003-12-16,Other,LD003,Head on collision,0,173,Minor Road,NORMAL,Y,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,2003-12-17,Other,LD003,Head on collision,14,214,Main Road,N/K,N,8,Y,n/k,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,471,471
83,2003-12-17,Other,LD003,Head on collision,23,200,Minor Road,NORMAL,N,17,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11591,11591
84,2003-12-17,PH,LD003,Head on collision,0,105,Main Road,NORMAL,Y,12,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,2019
85,2003-12-17,Other,LD003,Head on collision,0,96,Minor Road,NORMAL,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11862,11862
86,2003-12-18,Other,LD003,Head on collision,1,89,Main Road,WET,N,17,Other,n/k,1,1,1,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1845,1845
87,2003-12-20,Other,LD003,Head on collision,2,139,Main Road,NORMAL,N,23,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7261,7261
88,2003-12-21,Other,LD003,Head on collision,452,98,Main Road,N/K,n/k,16,Other,n/k,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1220,1220
89,2003-12-21,PH,LD003,Head on collision,1,255,Main Road,WET,N,14,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12955,12955
90,2003-12-23,PH,LD003,Head on collision,0,149,Main Road,NORMAL,Y,8,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,90,90
91,2003-12-24,Other,LD003,Head on collision,0,106,Minor Road,WET,N,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16683,16683
92,2003-12-27,Other,LD003,Head on collision,2,142,Minor Road,WET,N,14,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,726,726
93,2003-12-28,PH,LD003,Head on collision,1,68,Minor Road,"SNOW,ICE,FOG",Y,9,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1247,1247
94,2003-12-30,PH,LD003,Head on collision,0,33,Main Road,NORMAL,N,17,Other,n/k,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,52151,50000
95,2004-01-02,PH,LD003,Head on collision,3,91,Minor Road,NORMAL,Y,16,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2004-01-06,PH,LD003,Head on collision,1,260,Minor Road,NORMAL,Y,17,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,2004-01-07,PH,LD003,Head on collision,0,179,Minor Road,NORMAL,Y,13,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2004-01-08,Other,LD003,Head on collision,2,141,Minor Road,NORMAL,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2004-01-09,PH,LD003,Head on collision,0,161,Main Road,WET,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,80,80
100,2004-01-12,PH,LD003,Head on collision,0,222,Minor Road,NORMAL,N,16,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18684,18684
101,2004-01-13,Other,LD003,Head on collision,0,37,Main Road,WET,Y,6,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,80,80
102,2004-01-13,PH,LD003,Head on collision,0,205,Minor Road,NORMAL,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2004-01-15,PH,LD003,Head on collision,1,99,Main Road,WET,Y,19,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15253,15253
104,2004-01-16,Other,LD003,Head on collision,1,94,Main Road,NORMAL,N,19,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,8845,8845
105,2004-01-19,Other,LD003,Head on collision,0,52,Minor Road,WET,Y,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,959,959
106,2004-01-20,PH,LD003,Head on collision,1,141,Main Road,WET,N,18,Other,n/k,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,25531,25531
107,2004-01-21,Other,LD003,Head on collision,0,161,Minor Road,WET,N,15,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4010,4010
108,2004-01-23,PH,LD003,Head on collision,0,176,Minor Road,WET,Y,15,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1925,1925
109,2004-01-27,PH,LD003,Head on collision,0,251,Main Road,NORMAL,N,8,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,373,373
110,2004-01-27,Other,LD003,Head on collision,3,201,Main Road,NORMAL,N,19,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,256,256
111,2004-01-28,Other,LD003,Head on collision,3,90,Minor Road,"SNOW,ICE,FOG",Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,324,324
112,2004-01-28,PH,LD003,Head on collision,1,236,Minor Road,"SNOW,ICE,FOG",N,17,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2004-01-29,Other,LD003,Head on collision,0,47,Minor Road,"SNOW,ICE,FOG",N,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,80,80
114,2004-01-29,PH,LD003,Head on collision,0,303,Minor Road,"SNOW,ICE,FOG",N,9,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,80,80
